"search_filter_id","search_id","property_type","property_grade","user_rating_min","price","amenity_count","region","data_origin"
"FQQH9lq7yvj","QQH9lq7yvj","","","9.0","500000","6","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQBCHAwUJn9","QBCHAwUJn9","","","","","0","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQ1kmQKk0rb","Q1kmQKk0rb","","","8.0","300000","3","","실제 사용자 선택값"
"FQpt90DDgsn","Qpt90DDgsn","","","8.0","300000","3","","실제 사용자 선택값"
"FQ0nO9cnSPd","Q0nO9cnSPd","","","8.0","300000","4","","실제 사용자 선택값"
"FQQ5RXBXBR4","QQ5RXBXBR4","","","8.0","300000","4","","실제 사용자 선택값"
"FQdVKYmGhra","QdVKYmGhra","","","8.0","300000","4","","실제 사용자 선택값"
"FQD4U3ztNlp","QD4U3ztNlp","","","8.0","300000","4","","실제 사용자 선택값"
"FQ0alv53UTl","Q0alv53UTl","","","8.0","300000","4","","실제 사용자 선택값"
"FQi6IhgLadE","Qi6IhgLadE","","","","","0","","실제 사용자 선택값"
"FQ1ZmSWFT1T","Q1ZmSWFT1T","","","","","1","Tokyo · 신주쿠","실제 사용자 선택값"
"FQvArPo2JT7","QvArPo2JT7","","","","","0","Tokyo · 신주쿠","실제 사용자 선택값"
"FQ7f2HeFFFW","Q7f2HeFFFW","","","","","0","Tokyo · 신주쿠","실제 사용자 선택값"
"FQNHhx3jdVH","QNHhx3jdVH","","","","","1","Fukuoka · 하카타역","실제 사용자 선택값"
"FQkmoq7rfGj","Qkmoq7rfGj","","","","","0","Fukuoka · 하카타역","실제 사용자 선택값"
"FQhCR0t5IkB","QhCR0t5IkB","","","","","0","Fukuoka · 하카타역","실제 사용자 선택값"
"FQ9R6aKDqdQ","Q9R6aKDqdQ","","","","","0","Fukuoka · 하카타역","실제 사용자 선택값"
"FQQ0zK37fEm","QQ0zK37fEm","","","","","0","Kyoto · 교토역","실제 사용자 선택값"
"FQ0ziQEmxKz","Q0ziQEmxKz","","","","","0","Kyoto · 아라시야마","실제 사용자 선택값"
"FQPFT3MmIOr","QPFT3MmIOr","","","","","0","Kyoto · 아라시야마","실제 사용자 선택값"
"FQMfp2J1ja2","QMfp2J1ja2","","","","","2","Osaka · 우메다","실제 사용자 선택값"
"FQkIVhDt22g","QkIVhDt22g","","","","","2","Osaka · 신사이바시","실제 사용자 선택값"
"FQbC8XA3KTg","QbC8XA3KTg","","","","","2","Osaka · 베이 에어리어","실제 사용자 선택값"
"FQv3ns58DE8","Qv3ns58DE8","","","","","3","Osaka · 베이 에어리어","실제 사용자 선택값"
"FQNJsD4kPg0","QNJsD4kPg0","","","","","3","Osaka · 혼마치","실제 사용자 선택값"
"FQDOaJ4gi3E","QDOaJ4gi3E","","","","","3","Osaka · 난바","실제 사용자 선택값"
"FQ3coLsdzsA","Q3coLsdzsA","","","","","3","Osaka · 우메다","실제 사용자 선택값"
"FQLu3t2o66w","QLu3t2o66w","","","","","3","Osaka · 우메다","실제 사용자 선택값"
"FQNZZ7f3AVs","QNZZ7f3AVs","","","","","2","Osaka · 우메다","실제 사용자 선택값"
"FQxoEav5d6U","QxoEav5d6U","","","","","2","Osaka","실제 사용자 선택값"
"FQz6XeRkveI","Qz6XeRkveI","","","","","0","Osaka · 신사이바시","실제 사용자 선택값"
"FQNFRCCVqbP","QNFRCCVqbP","","","","","0","Kyoto","실제 사용자 선택값"
"FQS2Nf7ujam","QS2Nf7ujam","","","","","1","Kyoto","실제 사용자 선택값"
"FQ1pmoZBGd2","Q1pmoZBGd2","","","","","1","Kyoto","실제 사용자 선택값"
"FQSN7J6w0JM","QSN7J6w0JM","","","","","2","Kyoto","실제 사용자 선택값"
"FQfwZVSviLs","QfwZVSviLs","","","","","3","Kyoto","실제 사용자 선택값"
"FQzsgiJmvpS","QzsgiJmvpS","","","","","0","Kyoto","실제 사용자 선택값"
"FQgVB7GVeCU","QgVB7GVeCU","","","","","0","Fukuoka · 하카타역","실제 사용자 선택값"
"FQjccAp74FV","QjccAp74FV","","","","","1","Osaka · 난바","실제 사용자 선택값"
"FQXR60h3snv","QXR60h3snv","","","","","1","Fukuoka · 텐진","실제 사용자 선택값"
"FQHJ9KMR6c0","QHJ9KMR6c0","","","","","0","Fukuoka · 텐진","실제 사용자 선택값"
"FQP5zYUYuK3","QP5zYUYuK3","","","","","3","","실제 사용자 선택값"
"FQWr1WK9Qt2","QWr1WK9Qt2","","","","","0","","실제 사용자 선택값"
"FQXpCq5SenS","QXpCq5SenS","","","9.0","","2","Tokyo · 신주쿠","실제 사용자 선택값"
"FQ2ZWvN7WQv","Q2ZWvN7WQv","","","9.0","","0","Tokyo · 신주쿠","실제 사용자 선택값"
"FQN7QHax84N","QN7QHax84N","","","","","0","Tokyo · 신주쿠","실제 사용자 선택값"
"FQhM79a9imX","QhM79a9imX","","","","","0","","실제 사용자 선택값"
"FQy9phiue1Y","Qy9phiue1Y","","","","","2","Sapporo","실제 사용자 선택값"
"FQAQYUagzxG","QAQYUagzxG","","","","","0","Sapporo","실제 사용자 선택값"
"FQWBsF3FDla","QWBsF3FDla","","","7.0","","4","Sapporo","실제 사용자 선택값"
"FQTREFrQEKy","QTREFrQEKy","","","7.0","","4","Kyoto","실제 사용자 선택값"
"FQE2skmxqtN","QE2skmxqtN","","","7.0","","4","Osaka","실제 사용자 선택값"
"FQa8azF2WC3","Qa8azF2WC3","","","7.0","","4","Osaka","실제 사용자 선택값"
"FQUO2PegZM0","QUO2PegZM0","","","7.0","","4","Osaka","실제 사용자 선택값"
"FQViuMM7Oz3","QViuMM7Oz3","","","7.0","","5","Osaka","실제 사용자 선택값"
"FQw6asIBogx","Qw6asIBogx","","","7.0","","6","Osaka","실제 사용자 선택값"
"FQ9p0GVJd87","Q9p0GVJd87","","","7.0","","7","Osaka","실제 사용자 선택값"
"FQggs5ViKs6","Qggs5ViKs6","","","7.0","","7","Osaka · 신오사카","실제 사용자 선택값"
"FQSVwupeLeB","QSVwupeLeB","","","7.0","","7","Osaka","실제 사용자 선택값"
"FQTNHlfQlWK","QTNHlfQlWK","","","8.0","","7","Osaka","실제 사용자 선택값"
"FQ2pHbv607e","Q2pHbv607e","","","8.0","","7","","실제 사용자 선택값"
"FQeGll1HGG0","QeGll1HGG0","","","8.0","","7","","실제 사용자 선택값"
"FQqyC1G3Ogh","QqyC1G3Ogh","","","8.0","","9","","실제 사용자 선택값"
"FQvGWKdjvxi","QvGWKdjvxi","","","8.0","","10","","실제 사용자 선택값"
"FQ0Hk8yHrcS","Q0Hk8yHrcS","","","8.0","","10","","실제 사용자 선택값"
"FQ0we4ad3p2","Q0we4ad3p2","","","8.0","","10","","실제 사용자 선택값"
"FQA7bQhTiLs","QA7bQhTiLs","","","8.0","150000","10","","실제 사용자 선택값"
"FQHJY1Vy3gK","QHJY1Vy3gK","","","8.0","150000","10","","실제 사용자 선택값"
"FQIofE2CcLU","QIofE2CcLU","","","","","0","","실제 사용자 선택값"
"FQLRmTuz6bd","QLRmTuz6bd","","","","","0","Fukuoka · 다자이후","실제 사용자 선택값"
"FQEelg8ZQ9v","QEelg8ZQ9v","","","","","0","Fukuoka · 다자이후","실제 사용자 선택값"
"FQc9unS1iN4","Qc9unS1iN4","","","","","0","Fukuoka · 다자이후","실제 사용자 선택값"
"FQFQfGGxB7C","QFQfGGxB7C","","","8.0","200000","0","Sapporo · 스스키노","실제 사용자 선택값"
"FQU5L077FC4","QU5L077FC4","","","","","0","Sapporo · 스스키노","실제 사용자 선택값"
"FQHEes8JGl4","QHEes8JGl4","","","8.0","","1","Kyoto","실제 사용자 선택값"
"FQgw6cthBke","Qgw6cthBke","","","8.0","","1","Kyoto","실제 사용자 선택값"
"FQeO8BWowuQ","QeO8BWowuQ","","","8.0","","1","Kyoto","실제 사용자 선택값"
"FQWgnGg4bx4","QWgnGg4bx4","","","","","0","Kyoto","실제 사용자 선택값"
"FQEe4A3pfOC","QEe4A3pfOC","","","8.0","","1","Tokyo · 신주쿠","실제 사용자 선택값"
"FQq3kiTTYV2","Qq3kiTTYV2","","","8.0","","2","Tokyo · 신주쿠","실제 사용자 선택값"
"FQBJ8OQa7v5","QBJ8OQa7v5","","","","","0","Tokyo · 신주쿠","실제 사용자 선택값"
"FQc0zjdpewR","Qc0zjdpewR","","","9.0","300000","0","","실제 사용자 선택값"
"FQIzF4dO07g","QIzF4dO07g","","","9.0","300000","0","","실제 사용자 선택값"
"FQuPacEA6qw","QuPacEA6qw","","","9.0","300000","1","","실제 사용자 선택값"
"FQ85VtJzygQ","Q85VtJzygQ","","","9.0","300000","2","","실제 사용자 선택값"
"FQfY7e9nSuD","QfY7e9nSuD","","","9.0","300000","3","","실제 사용자 선택값"
"FQUD9FJSnhP","QUD9FJSnhP","","","9.0","300000","4","","실제 사용자 선택값"
"FQm8QU0i9f1","Qm8QU0i9f1","","","9.0","300000","6","","실제 사용자 선택값"
"FQsfgBXWBsE","QsfgBXWBsE","","","9.0","200000","0","Sapporo · 스스키노","실제 사용자 선택값"
"FQXEmuiN91c","QXEmuiN91c","","","","","0","","실제 사용자 선택값"
"FQdJcW3bHTQ","QdJcW3bHTQ","","","9.0","200000","0","Sapporo · 삿포로역","실제 사용자 선택값"
"FQE8FKEgEHY","QE8FKEgEHY","","","9.0","200000","0","Sapporo · 오도리","실제 사용자 선택값"
"FQtgT67Z9J2","QtgT67Z9J2","","","9.0","200000","0","Sapporo","실제 사용자 선택값"
"FQ20ze9WvuD","Q20ze9WvuD","","","9.0","200000","0","Sapporo","실제 사용자 선택값"
"FQYnqAOLdk9","QYnqAOLdk9","","","","200000","0","Sapporo","실제 사용자 선택값"
"FQIQUrGyX2R","QIQUrGyX2R","","","","","0","Sapporo","실제 사용자 선택값"
"FQVb4N776JF","QVb4N776JF","","","9.0","200000","0","Tokyo · 시부야","실제 사용자 선택값"
"FQeqY33BRal","QeqY33BRal","","","","","0","Tokyo · 시부야","실제 사용자 선택값"
"FQU9ouTT4sN","QU9ouTT4sN","","","","","1","Kyoto · 교토역","실제 사용자 선택값"
"FQXLsAqGTu8","QXLsAqGTu8","","","","","2","Kyoto · 교토역","실제 사용자 선택값"
"FQ504QO0eho","Q504QO0eho","","","","","0","Kyoto · 교토역","실제 사용자 선택값"
"FQM024jAVa9","QM024jAVa9","","","8.0","200000","4","Osaka","실제 사용자 선택값"
"FQx2ylHJaeU","Qx2ylHJaeU","","","9.0","200000","3","Osaka · 신사이바시","실제 사용자 선택값"
"FQszxMx07ps","QszxMx07ps","","","9.0","200000","3","Osaka · 신사이바시","실제 사용자 선택값"
"FQvbLNeWFHO","QvbLNeWFHO","","","9.0","200000","3","Osaka · 신사이바시","실제 사용자 선택값"
"FQBbv00qVqv","QBbv00qVqv","","","9.0","200000","4","Osaka · 신사이바시","실제 사용자 선택값"
"FQFMU1dCdR3","QFMU1dCdR3","","","","","0","Osaka · 오사카성","실제 사용자 선택값"
"FQZVTvvChUQ","QZVTvvChUQ","","","9.0","100000","4","Osaka · 신사이바시","실제 사용자 선택값"
"FQw4zvSJSN6","Qw4zvSJSN6","","","","","0","","실제 사용자 선택값"
"FQ7eMXZBvMB","Q7eMXZBvMB","","","9.0","100000","4","Osaka · 신사이바시","실제 사용자 선택값"
"FQQTUE2ToUl","QQTUE2ToUl","","","9.0","100000","4","Osaka · 신사이바시","실제 사용자 선택값"
"FQEhf8Qa94O","QEhf8Qa94O","","","","","0","Osaka · 신사이바시","실제 사용자 선택값"
"FQfyEdhfadA","QfyEdhfadA","","","","","0","Osaka · 오사카성","실제 사용자 선택값"
"FQyoWpIknRm","QyoWpIknRm","","","","","0","Osaka · 오사카성","실제 사용자 선택값"
"FQ24gQrT5q7","Q24gQrT5q7","","","8.0","200000","3","Osaka · 난바","실제 사용자 선택값"
"FQhjQC7ISJ6","QhjQC7ISJ6","","","","","0","Osaka · 난바","실제 사용자 선택값"
"FQxu77L6taS","Qxu77L6taS","","","8.0","200000","3","Osaka · 도톤보리","실제 사용자 선택값"
"FQls5gz8SJD","Qls5gz8SJD","","","","","0","Osaka · 도톤보리","실제 사용자 선택값"
"FQHaA7LVU77","QHaA7LVU77","","","8.0","200000","2","Tokyo · 신주쿠","실제 사용자 선택값"
"FQ5gRr1F1T9","Q5gRr1F1T9","","","8.0","200000","3","Tokyo · 신주쿠","실제 사용자 선택값"
"FQZBsNvYNxW","QZBsNvYNxW","","","8.0","200000","3","Tokyo · 신주쿠","실제 사용자 선택값"
"FQzSc7wHrY0","QzSc7wHrY0","","","8.0","200000","3","Tokyo · 신주쿠","실제 사용자 선택값"
"FQQFpVOZ85A","QQFpVOZ85A","","","8.0","200000","3","Tokyo · 신주쿠","실제 사용자 선택값"
"FQu7IZVdIfa","Qu7IZVdIfa","","","","","0","Tokyo · 신주쿠","실제 사용자 선택값"
"FQef6nhfBaf","Qef6nhfBaf","","","8.0","300000","2","Osaka · 난바","실제 사용자 선택값"
"FQr8f8e0yPK","Qr8f8e0yPK","","","8.0","300000","2","Osaka · 난바","실제 사용자 선택값"
"FQ5su591bLG","Q5su591bLG","","","8.0","300000","2","Osaka · 난바","실제 사용자 선택값"
"FQJimeDlDOV","QJimeDlDOV","","","8.0","300000","6","Osaka · 난바","실제 사용자 선택값"
"FQp4nY8fw73","Qp4nY8fw73","","","8.0","300000","6","Osaka · 난바","실제 사용자 선택값"
