"테이블","컬럼","현재 저장 방식","전체 행","고유값","고유값 비율","NULL 비율","평균/최대 문자열 길이","분류","사전 매핑 효과","증강 시 예상 문제","권장 저장 방식","판단 근거"
"Booking","user_id","INTEGER","0","0","해당 없음","해당 없음","해당 없음","증강 대상에서 제외","없음","생성기 호환성 추가 확인 필요","빈 테이블 유지 또는 승인 후 별도 생성","현재 0행이며 예약 연결 규칙이 승인되지 않음"
"Booking","hotel_id","INTEGER","0","0","해당 없음","해당 없음","해당 없음","증강 대상에서 제외","없음","생성기 호환성 추가 확인 필요","빈 테이블 유지 또는 승인 후 별도 생성","현재 0행이며 예약 연결 규칙이 승인되지 않음"
"Booking","room_id","INTEGER","0","0","해당 없음","해당 없음","해당 없음","증강 대상에서 제외","없음","생성기 호환성 추가 확인 필요","빈 테이블 유지 또는 승인 후 별도 생성","현재 0행이며 예약 연결 규칙이 승인되지 않음"
"Hotel","hotel_id","INTEGER","1000","1000","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"Hotel","hotel_name","TEXT","1000","1000","100.0000%","0.0000%","10.00/10","원문 문자열로 저장","낮음 또는 관리비용 큼","특이사항 없음","TEXT 원문 유지","100% 고유한 표시값이라 사전 절감 효과 낮음"
"Room","room_id","INTEGER","1000","1000","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"Room","hotel_id","INTEGER","1000","1000","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"Search","search_id","INTEGER","65355","65355","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"Search","session_id","INTEGER","65355","10000","15.3010%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"Search","search_sequence","INTEGER","65355","31","0.0474%","0.0000%","해당 없음","기존 숫자 자료형 유지","없음","특이사항 없음","현재 숫자형 유지","계산·정렬·제약에 직접 사용"
"Search","search_time","TEXT","65355","61246","93.7128%","0.0000%","25.00/25","추가 확인 필요","중간 가능, 신규값 관리비용 높음","생성기 호환성 추가 확인 필요","생성기 시간 계약 확인 전 TEXT 유지","고유값이 계속 증가하므로 사전 관리 부적합; epoch 변환은 코드 호환 확인 필요"
"Search","total_result_count","INTEGER","65355","30","0.0459%","0.0000%","해당 없음","기존 숫자 자료형 유지","없음","특이사항 없음","현재 숫자형 유지","계산·정렬·제약에 직접 사용"
"Search","query_text","TEXT","65355","18141","27.7576%","0.0000%","21.72/29","원문 문자열로 저장","낮음 또는 관리비용 큼","새 값 처리 규칙 필요","TEXT 원문 유지","검색어 분석 대상이며 고유값 27.76%; 신규 값 계속 발생 가능"
"Search","destination","TEXT","65355","4","0.0061%","0.0000%","6.00/7","원문 문자열로 저장","낮음~중간","새 값 처리 규칙 필요","현재 TEXT 유지","반복값이나 전체 용량 기여가 작고 직접 판독성이 중요"
"Search","action_type","TEXT","65355","5","0.0077%","0.0000%","12.57/16","원문 문자열로 저장","낮음~중간","새 값 처리 규칙 필요","현재 TEXT 유지","반복값이나 전체 용량 기여가 작고 직접 판독성이 중요"
"SearchFilter","search_filter_id","INTEGER","65355","65355","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"SearchFilter","search_id","INTEGER","65355","65355","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"SearchFilter","price","INTEGER","65355","3","0.0046%","36.5848%","해당 없음","기존 숫자 자료형 유지","없음","특이사항 없음","현재 숫자형 유지","계산·정렬·제약에 직접 사용"
"SearchFilter","amenity_count","INTEGER","65355","4","0.0061%","0.0000%","해당 없음","기존 숫자 자료형 유지","없음","특이사항 없음","현재 숫자형 유지","계산·정렬·제약에 직접 사용"
"SearchFilter","region","TEXT","65355","4","0.0061%","0.0000%","6.00/7","원문 문자열로 저장","낮음~중간","새 값 처리 규칙 필요","현재 TEXT 유지","반복값이나 전체 용량 기여가 작고 직접 판독성이 중요"
"SearchFilter","property_type","TEXT","65355","0","0.0000%","100.0000%","해당 없음","증강 대상에서 제외","없음","근거 없이 합성하면 의미 왜곡","현재 NULL 유지","전 행 NULL이고 현재 분석 근거 없음"
"SearchFilter","property_grade","INTEGER","65355","0","0.0000%","100.0000%","해당 없음","증강 대상에서 제외","없음","근거 없이 합성하면 의미 왜곡","현재 NULL 유지","전 행 NULL이고 현재 분석 근거 없음"
"SearchResult","search_result_id","INTEGER","2023419","2023419","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"SearchResult","search_id","INTEGER","2023419","34741","1.7169%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"SearchResult","hotel_id","INTEGER","2023419","1000","0.0494%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"SearchResult","room_id","INTEGER","2023419","1000","0.0494%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"SearchResult","result_rank","INTEGER","2023419","1000","0.0494%","0.0000%","해당 없음","기존 숫자 자료형 유지","없음","특이사항 없음","현재 숫자형 유지","계산·정렬·제약에 직접 사용"
"SearchTransition","transition_id","INTEGER","55355","55355","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"SearchTransition","session_id","INTEGER","55355","7814","14.1162%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"SearchTransition","from_search_id","INTEGER","55355","55355","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"SearchTransition","to_search_id","INTEGER","55355","55355","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"SearchTransition","action_type","TEXT","55355","4","0.0072%","0.0000%","13.57/16","원문 문자열로 저장","낮음~중간","새 값 처리 규칙 필요","현재 TEXT 유지","반복값이나 전체 용량 기여가 작고 직접 판독성이 중요"
"SearchTransition","recovered","INTEGER","55355","2","0.0036%","0.0000%","해당 없음","기존 숫자 자료형 유지","없음","특이사항 없음","현재 숫자형 유지","계산·정렬·제약에 직접 사용"
"SessionSynthetic","session_id","INTEGER","10000","10000","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"SessionSynthetic","user_id","INTEGER","10000","10000","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"SessionSynthetic","pair_id","INTEGER","10000","5000","50.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"SessionSynthetic","started_at","TEXT","10000","10000","100.0000%","0.0000%","25.00/25","추가 확인 필요","중간 가능, 신규값 관리비용 높음","생성기 호환성 추가 확인 필요","생성기 시간 계약 확인 전 TEXT 유지","고유값이 계속 증가하므로 사전 관리 부적합; epoch 변환은 코드 호환 확인 필요"
"SessionSynthetic","ended_at","TEXT","10000","9908","99.0800%","0.0000%","25.00/25","추가 확인 필요","중간 가능, 신규값 관리비용 높음","생성기 호환성 추가 확인 필요","생성기 시간 계약 확인 전 TEXT 유지","고유값이 계속 증가하므로 사전 관리 부적합; epoch 변환은 코드 호환 확인 필요"
"SessionSynthetic","outcome_segment","TEXT","10000","3","0.0300%","0.0000%","3.00/3","원문 문자열로 저장","낮음~중간","새 값 처리 규칙 필요","현재 TEXT 유지","반복값이나 전체 용량 기여가 작고 직접 판독성이 중요"
"SessionSynthetic","treatment_exposed","INTEGER","10000","2","0.0200%","0.0000%","해당 없음","기존 숫자 자료형 유지","없음","특이사항 없음","현재 숫자형 유지","계산·정렬·제약에 직접 사용"
"SimulationRun","run_id","INTEGER","1","1","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"SimulationRun","random_seed","INTEGER","1","1","100.0000%","0.0000%","해당 없음","기존 숫자 자료형 유지","없음","특이사항 없음","현재 숫자형 유지","계산·정렬·제약에 직접 사용"
"SimulationRun","mode","TEXT","1","1","100.0000%","0.0000%","10.00/10","원문 문자열로 저장","낮음~중간","새 값 처리 규칙 필요","현재 TEXT 유지","반복값이나 전체 용량 기여가 작고 직접 판독성이 중요"
"SimulationRun","scenario","TEXT","1","1","100.0000%","0.0000%","8.00/8","원문 문자열로 저장","낮음~중간","새 값 처리 규칙 필요","현재 TEXT 유지","반복값이나 전체 용량 기여가 작고 직접 판독성이 중요"
"SimulationRun","created_at","TEXT","1","1","100.0000%","0.0000%","32.00/32","추가 확인 필요","중간 가능, 신규값 관리비용 높음","생성기 호환성 추가 확인 필요","생성기 시간 계약 확인 전 TEXT 유지","고유값이 계속 증가하므로 사전 관리 부적합; epoch 변환은 코드 호환 확인 필요"
"SimulationRun","disclaimer","TEXT","1","1","100.0000%","0.0000%","50.00/50","원문 문자열로 저장","없음","특이사항 없음","TEXT 원문 유지","실행·한계·감사 정보이며 행 수가 작음"
"UserSynthetic","user_id","INTEGER","10000","10000","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"UserSynthetic","pair_id","INTEGER","10000","5000","50.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"UserSynthetic","sample_set_type","TEXT","10000","2","0.0200%","0.0000%","8.00/9","원문 문자열로 저장","낮음~중간","새 값 처리 규칙 필요","현재 TEXT 유지","반복값이나 전체 용량 기여가 작고 직접 판독성이 중요"
"UserSynthetic","sample_stratum","TEXT","10000","72","0.7200%","0.0000%","37.84/41","원문 문자열로 저장","없음","특이사항 없음","TEXT 원문 유지","72개 값이지만 10,000행뿐이고 사람이 직접 해석하는 분석 조건"
"UserSynthetic","simulation_run_id","INTEGER","10000","1","0.0100%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"UserSynthetic","random_seed","INTEGER","10000","1","0.0100%","0.0000%","해당 없음","기존 숫자 자료형 유지","없음","특이사항 없음","현재 숫자형 유지","계산·정렬·제약에 직접 사용"
"UserSynthetic","source_session_id","TEXT","10000","992","9.9200%","0.0000%","9.00/9","원문 문자열로 저장","낮음 또는 관리비용 큼","특이사항 없음","TEXT 원문 유지","1,000명 기준 DB와 연결하는 외부 계보 키"
"UserSynthetic","treatment_scenario","TEXT","10000","2","0.0200%","0.0000%","6.00/8","원문 문자열로 저장","낮음~중간","새 값 처리 규칙 필요","현재 TEXT 유지","반복값이나 전체 용량 기여가 작고 직접 판독성이 중요"
"UserSynthetic","generation_model_version","TEXT","10000","1","0.0100%","0.0000%","10.00/10","원문 문자열로 저장","낮음~중간","새 값 처리 규칙 필요","현재 TEXT 유지","반복값이나 전체 용량 기여가 작고 직접 판독성이 중요"
"UserSynthetic","age_group","TEXT","10000","0","0.0000%","100.0000%","해당 없음","증강 대상에서 제외","없음","근거 없이 합성하면 의미 왜곡","현재 NULL 유지","전 행 NULL이고 현재 분석 근거 없음"
"_generation_metadata","key","TEXT","11","11","100.0000%","0.0000%","17.73/25","원문 문자열로 저장","없음","특이사항 없음","TEXT 원문 유지","실행·한계·감사 정보이며 행 수가 작음"
"_generation_metadata","value","TEXT","11","11","100.0000%","0.0000%","30.18/64","원문 문자열로 저장","없음","특이사항 없음","TEXT 원문 유지","실행·한계·감사 정보이며 행 수가 작음"
