"hotel_id","hotel_name","city_name","grade","hotel_address","user_rating","review_count","property_type","actual_address","actual_city","actual_prefecture","actual_postal_code","actual_latitude","actual_longitude","actual_phone","actual_star_rating","supplier_hotel_code","rtx_code","agoda_code","expedia_code","top_selling_rank","source_last_mapped_at","actual_data_sources","data_origin"
"H0011","Mandarin Oriental Tokyo","Tokyo","4","2-1-1 Nihonbashi-muromachi","8.1","1050","Hotel","2-1-1 Nihonbashi-muromachi","Chuo-ku","Tokyo","103-8328","35.687047500000006","139.7730634","81-3-3270-8800","5.0","JPTYO00134","LHps","3849629","","","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0012","Shibuya Tobu Hotel","Tokyo","5","3-1 Udagawacho","8.2","1147","Resort","3-1 Udagawacho","Shibuya-ku","Tokyo","150-0042","35.66308953","139.6986113","81-3-3476-0111","3.5","JPTYO00091","ZRim","59215","2976143","","2025-11-17 18:15:22","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0013","The Prince Sakura Tower Tokyo","Tokyo","3","Tokyo 긴자·도쿄역","8.299999999999999","1244","Hotel","","","","","","","","","","","","","","","","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0014","Hotel Nihonbashi Saibo","Tokyo","4","3-3-16 Nihonbashiningyocho","8.4","1341","Hotel","3-3-16 Nihonbashiningyocho","Chuo-ku","Tokyo","103-0013","35.68561142","139.780359","81-3-3668-2323","2.5","JPTYO00069","pdIC","72199","4349683","","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0015","Shinagawa Prince Hotel","Tokyo","5","4-10-30 Takanawa","8.5","1438","Hotel","4-10-30 Takanawa","Minato-ku","Tokyo","108-8611","35.62772785","139.7362457","81-3-3440-1111","4.0","JPTYO00389","rpvw","9358","18997","2262","2026-06-17 17:24:42","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0016","JR-East Hotel Mets Shibuya","Tokyo","3","3-29-17 Shibuya","8.6","1535","Hotel","3-29-17 Shibuya","Shibuya-ku","Tokyo","150-0002","35.65590715","139.7040806","81-3-3409-0011","3.5","JPTYO00225","psUh","6577165","20291399","","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0017","Hyatt Regency Tokyo","Tokyo","4","2-7-2, Nishishinjuku , Shinjuku-ku, Tokyo, Japan","8.7","1632","Hotel","2-7-2, Nishishinjuku , Shinjuku-ku, Tokyo, Japan","Tokyo","","","35.6909012","139.6910425","81-3-3348-1234","","JPTYO00036","","","","","2026-06-17 17:24:42","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0018","InterContinental Tokyo Bay","Tokyo","5","1-16-2 Kaigan","8.799999999999999","1729","Hotel","1-16-2 Kaigan","Minato-ku","Tokyo","105-8576","35.65283128","139.7621869","81-3-5404-2222","4.0","JPTYO00077","UNeB","6057","15228","","2026-06-17 17:24:42","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0019","The Capitol Hotel Tokyu","Tokyo","3","2-10-3 Nagatacho","8.9","1826","Hotel","2-10-3 Nagatacho","Chiyoda-ku","Tokyo","100-0014","35.67383111","139.7403129","81-3-3503-0109","5.0","JPTYO00150","FxPM","186486","13577","","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0020","Hotel Hokke Club Asakusa","Tokyo","4","Tokyo 니혼바시","9.0","1923","Ryokan","","","","","","","","","","","","","","","","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0021","Shibuya Tokyu REI Hotel","Tokyo","5","1-24-10 Shibuya","9.1","2020","Hotel","1-24-10 Shibuya","Shibuya-ku","Tokyo","150-0002","35.66020384","139.7020056","81-3-3498-0109","3.5","JPTYO00145","D5NK","2312","","","2026-06-17 17:24:42","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0022","Hotel Horidome Villa","Tokyo","3","1-10-10, Nihonbashi Horidome-Cho, Chuo-Ku, Tokyo, Japan","9.2","2117","Hotel","1-10-10, Nihonbashi Horidome-Cho, Chuo-Ku, Tokyo, Japan","Tokyo","","","35.688654","139.7799054","81-3-36640840","","JPTYO00076","","","","","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0023","The Strings by InterContinental Tokyo","Tokyo","4","26-32F Shinagawa East One Tower, 2-16-1 Konan","9.3","2214","Resort","26-32F Shinagawa East One Tower, 2-16-1 Konan","Minato-ku","Tokyo","108-8282","35.62757799","139.7407342","81-3-5783-1111","4.5","JPTYO00101","2qeR","108725","917711","","2025-11-17 18:15:22","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0024","Hotel Mystays Hamamatsucho","Tokyo","5","1-18-14 Hamamatsucho","9.399999999999999","2311","Hotel","1-18-14 Hamamatsucho","Minato-ku","Tokyo","105-0013","35.65818605","139.7551873","81-3-6689-3939","2.5","JPTYO00166","XdHP","281634","","","2026-04-17 11:35:33","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0025","Hotel JAL City Haneda Tokyo","Tokyo","3","4-11 Hanedaasahicho","9.5","2408","Hotel","4-11 Hanedaasahicho","Ota-ku","Tokyo","144-0042","35.55","139.75","81-3-5735-2525","3.5","JPTYO00122","mpen","69301","","1019","2026-07-20 17:50:53","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0026","Richmond Hotel Tokyo Shiba","Tokyo","4","2-3-4 Shibakoen","9.6","2505","Hotel","2-3-4 Shibakoen","Minato-ku","Tokyo","105-0011","35.65685834","139.7522737","81-3-5777-7722","3.0","JPTYO00993","KySz","3037674","20814281","2134","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0027","Dai-ichi Hotel Ryogoku","Tokyo","5","1-6-1, Yokoami, Sumida-ku, Tokyo, Japan","9.7","2602","Hotel","1-6-1, Yokoami, Sumida-ku, Tokyo, Japan","Tokyo","","","35.6983005","139.796856","81-3-56115211","","JPTYO00131","","","","","2026-03-16 11:33:18","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0028","Mitsui Garden Hotel Ueno","Tokyo","3","3-19-7 Higashiueno","9.8","2699","Hotel","3-19-7 Higashiueno","Taito-ku","Tokyo","110-0015","35.71184452","139.7781804","81-3-3839-1131","2.5","JPUEN00008","wqi5","222614","3804644","1790","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0029","Ochanomizu Inn","Tokyo","4","1-3-7 Yushima","7.1","2796","Hotel","1-3-7 Yushima","Bunkyo-ku","Tokyo","113-0034","35.7","139.77","81-3-3813-8211","2.5","JPTYO00977","uMVL","2571629","15957579","717","2025-04-30 10:53:50","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0030","Hotel New Otani Tokyo","Tokyo","5","1-6-2 Osaki","7.199999999999999","2893","Hotel","1-6-2 Osaki","Shinagawa-ku","Tokyo","141-0032","35.62072567","139.7293299","81-3-3779-9111","3.5","JPTYO00068","k1M4","3276","54203","405","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0031","Palace Hotel Tokyo","Tokyo","3","1-1-1 Marunouchi","7.3","2990","Hotel","1-1-1 Marunouchi","Chiyoda-ku","Tokyo","100-0005","35.6845024","139.7612295","81-3-3211-5211","5.0","JPTYO00071","hciC","569164","416454","","2025-09-15 12:31:43","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0032","The Tokyo Station Hotel","Tokyo","4","1-9-1 Marunouchi","7.3999999999999995","3087","Hotel","1-9-1 Marunouchi","Chiyoda-ku","Tokyo","100-0005","35.68067269","139.7657632","81-3-5220-1111","5.0","JPTYO00345","2Ky4","305312","428366","2292","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0033","Imperial Hotel Tokyo","Tokyo","5","1-1-1 Uchisaiwaicho","7.5","3184","Hotel","1-1-1 Uchisaiwaicho","Chiyoda-ku","Tokyo","100-8558","35.672428","139.758368","81-3-3504-1111","5.0","JPTYO00057","qn6h","286","11063","1688","2025-11-17 18:15:22","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0034","Conrad Tokyo","Tokyo","3","1-9-1 Higashi Shinbashi","7.6","3281","Resort","1-9-1 Higashi Shinbashi","Minato-ku","Tokyo","105-7337","35.662930110000005","139.760856","81-3-6388-8000","5.0","JPTYO00053","C8ot","69184","1235351","","2026-06-17 17:24:42","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0035","Park Hotel Tokyo","Tokyo","4","1-7-1 Higashishinbashi","7.699999999999999","3378","Hotel","1-7-1 Higashishinbashi","Minato-ku","Tokyo","105-7227","35.66283841","139.7594173","81-3-6252-1111","4.0","JPTYO00072","27NL","51457","903455","","2025-11-17 18:15:22","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0036","The Okura Tokyo","Tokyo","5","2-10-4 Toranomon","7.8","3475","Hotel","2-10-4 Toranomon","Minato-ku","Tokyo","105-0001","35.6668569","139.7439908","81-3-3582-0111","5.0","JPTYO00750","FUoj","7009454","","","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0037","Andaz Tokyo Toranomon Hills","Tokyo","3","1-23-4,Toranomon, Minato-ku, Tokyo, Japan","7.8999999999999995","3572","Hotel","1-23-4,Toranomon, Minato-ku, Tokyo, Japan","Tokyo","","","35.666944","139.749444","81-3-68301234","","JPTYO00018","","","","","2025-12-05 23:03:04","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0038","Grand Hyatt Tokyo","Tokyo","4","6-10-3,Roppongi, Minato-Ku, Tokyo 106-0032 Japan","8.0","3669","Hotel","6-10-3,Roppongi, Minato-Ku, Tokyo 106-0032 Japan","Tokyo","","","35.66010059861668","139.72833665263977","81-3-43331234","","JPTYO00096","","","","","2025-11-17 18:15:22","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0039","Cerulean Tower Tokyu Hotel","Tokyo","5","26-1 Sakuragaokacho","8.1","3766","Ryokan","26-1 Sakuragaokacho","Shibuya-ku","Tokyo","150-8512","35.65624031000001","139.6990615","81-3-3476-3000","5.0","JPTYO00037","Dvyb","1963","661016","1573","2025-12-05 23:03:04","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0040","Keio Plaza Hotel Tokyo","Tokyo","3","2-2-1 Nishishinjuku","8.2","3863","Hotel","2-2-1 Nishishinjuku","Shinjuku-ku","Tokyo","160-8330","35.69015304","139.6943134","81-3-3344-0111","4.0","JPTYO00142","LvrB","2368873","15215","","2026-06-17 14:54:25","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0041","Hilton Tokyo","Tokyo","4","6-6-2, Nishishinjuku , Shinjuku-ku, Tokyo, Japan","8.299999999999999","3960","Hotel","6-6-2, Nishishinjuku , Shinjuku-ku, Tokyo, Japan","Tokyo","","","35.6926927","139.691073","81-3-3344-5111","","JPTYO00048","","","","","2026-06-17 17:24:42","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0042","Park Hyatt Tokyo","Tokyo","5","3-7-1-2 NIishi-Shinjuku, Shinjuku-ku, Tokyo, Japan","8.4","4057","Hotel","3-7-1-2 NIishi-Shinjuku, Shinjuku-ku, Tokyo, Japan","Tokyo","","","35.685558496606326","139.69061853981168","81-3-5322-1234","","JPTYO00157","","","","","2025-09-15 12:31:43","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0043","The Peninsula Tokyo","Tokyo","3","1-8-1, Yurakucho, Chiyoda-Ku, Tokyo, Japan","8.5","4154","Hotel","1-8-1, Yurakucho, Chiyoda-Ku, Tokyo, Japan","Tokyo","","","35.67469121965017","139.76065361838528","81-3-6270-2888","","JPTYO00079","","","","","2025-11-17 18:15:22","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0044","Four Seasons Hotel Tokyo at Marunouchi","Tokyo","4","Pacific Century Place, 1-11-1, Maruno Chiyoda-ku, Tokyo, Japan","8.6","4251","Hotel","Pacific Century Place, 1-11-1, Maruno Chiyoda-ku, Tokyo, Japan","Tokyo","","","35.678194741610774","139.76692811534417","81-3-52227222","","JPTYO00075","","","","","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0045","Aman Tokyo","Tokyo","5","The Otemachi Tower, 1-5-6 Otemachi, Chiyoda-ku, Tokyo, Japan","8.7","4348","Resort","The Otemachi Tower, 1-5-6 Otemachi, Chiyoda-ku, Tokyo, Japan","Tokyo","","","35.68586156442201","139.76782528088154","81-3-52243333","","JPTYO00398","","","","","2025-11-17 18:15:22","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0046","Hoshinoya Tokyo","Tokyo","3","1 9 1 OTEMACHI CHIYODA KU,   TOKYO ","8.799999999999999","4445","Hotel","1 9 1 OTEMACHI CHIYODA KU,   TOKYO ","Tokyo","","","35.6877","139.765","+815037861144","","JPTYO00887","","","","","2025-04-30 10:53:50","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0047","The Gate Hotel Tokyo by Hulic","Tokyo","4","2-2-3 Yurakucho ","8.9","4542","Hotel","2-2-3 Yurakucho ","Chiyoda-ku","Tokyo","100-0006","35.67282387","139.7614178","81-3-6263-8233","4.5","JPTYO00715","sm7i","6549016","29359886","1605","2026-07-08 16:26:10","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0048","Mitsui Garden Hotel Jingugaien Tokyo Premier","Tokyo","5","11-3 Kasumigaokamachi","9.0","4639","Hotel","11-3 Kasumigaokamachi","Shinjuku-ku","Tokyo","160-0013","35.68022377999999","139.71545590000002","81-3-5786-1531","4.0","JPTYO00953","mV4F","7028111","36133857","","2025-09-15 12:31:43","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0049","sequence Miyashita Park","Tokyo","3","6-20-10 Jingumae, Shibuya-ku","9.1","4736","Hotel","6-20-10 Jingumae, Shibuya-ku","Shibuya-ku","Tokyo","150-0001","35.663448210000006","139.701811","81-3-5468-6131","3.5","JPTYO01336","cq3s","12506368","46302111","","2025-09-15 12:31:43","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0050","Tokyo Dome Hotel","Tokyo","4","1-3-61 Koraku","9.2","4833","Hotel","1-3-61 Koraku","Bunkyo-ku","Tokyo","112-8562","35.70359478","139.7532662","81-3-5805-2111","4.5","JPTYO00197","7e39","43321","","","2025-11-17 18:15:22","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0051","＆AND HOSTEL AKIHABARA","Tokyo","5","Tokyo 신주쿠","9.3","4930","Hotel","","","","","","","","","","","","","","","","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0052","&Here","Tokyo","3","Tokyo 시부야","9.399999999999999","127","Hotel","","","","","","","","","","","","","","","","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0053","1 Hotel Tokyo","Tokyo","4","AKASAKA, MINATO-KU, 2-17-22, 43, MINATO-KU,107-0052","9.5","224","Hotel","AKASAKA, MINATO-KU, 2-17-22, 43, MINATO-KU,107-0052","Tokyo","","","35.67005766583886","139.74049737665177","+81364413040","","JPTYO01916","","","","","2026-05-19 12:34:31","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0054","328 Hostel&Lounge","Tokyo","5","Tokyo 아사쿠사","9.6","321","Hotel","","","","","","","","","","","","","","","","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0055","3Q Seasons","Tokyo","3","Tokyo 우에노","9.7","418","Hotel","","","","","","","","","","","","","","","","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0056","3Q Showa","Tokyo","4","Tokyo 롯폰기","9.8","515","Resort","","","","","","","","","","","","","","","","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0057","9h nine hours","Tokyo","5","Tokyo 오다이바","7.1","612","Hotel","","","","","","","","","","","","","","","","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
